SEXISTWORDS
Bossy
Abrasive
A ball-buster
Aggressive
Shrill
Bolshy
Intense
Stroppy
Forward
Mannish
Gossipy
Dramatic
Catty
Bitchy
Nag
Cold
Ice queen
Shrew
Humourless
Man-hater
Banshee
Fishwife
Lippy
Ditzy
Feminaz
militant feminist
Bridezill
Diva
Prima donna
Blonde
Feisty
Supermum
Working mother
Career woman
Yummy mummy
Slut
Trollop
Frigid
Easy
Tease
Loose
Man-eater
Cougar
Asking for it
Prude
The town bik
Mutton dressed as lamb
Slutty
Curvy
Mumsy
Cheap
Drama Quee
Frumpy
Let herself go
Faded beauty
Mousey
Plus-size
Clotheshorse
Brunette
Ladylike
Bubbly
Vivacious
Flirty
Sassy
Chatty
Demure
Modest
Emotional
Hysterical
Hormonal
Menstrual
Flaky
Moody
Over-sensitive
Clucky
Materna
Neurotic
Irrational
Baby brain
Baby weight
Mummy blogger
Female engineer
"That’s good, for a girl"
Like a girl
Mumpreneur
Spinster
Barren
She wears the pants
Housewife
Houseproud
Soccer mom
Mistress
Kept woman
Incompetent cervix
Failure to progress
Elderly primagravida
Irritable uterus
Princess
Tomboy
Girly (‘a girly girl’)
Little lady
Jail-bait
Bitchfes
Catfigh
Mommy war
Caring
Compassionate
Hard-working
Conscientious
Dependable
Diligent
Dedicated
Tactful
Interpersonal
Warm
Helpful
Passionate
Transforming
Wellness
Worthy
Radiance
Renewal
Thriving
Purposeful
Exuberant
Energetic
Brilliance
Abundance
Align
Visionary
Luminous
Creativity
Discovery
Results
Love
Release
Peaceful
Growth
Imagination
Courageous
Serendipity
Grace
Harmonious
Visualize
Clarity
Focus
Persistence
Service
Philanthropy
Faith
Outrageous
Prosperity
Insightful
Unlimited
Unleash
Results
Uncover
Solutions
Quality
Power/Powerful
Compelling
Exciting
Accomplish
Instantaneous
Worthwhile
Succulent
easy-going
elegant
emotional
empowered
enchanting
encouraging
energetic
engaging
enigmatic
entertaining
etherial
expressive
extraordinary
fabulous
fair
fashionable
fearless
feisty
female
feminine
fiery
fit
flawless
flirtatious
flirty
focused
forgiving
foxy
fragile
frail
friendly
fun
fun-loving
funny
generous
gentle
genuine
giddy
gifted
giggly
girly
giving
glamorous
goal-oriented
good-natured
gorgeous
graceful
grounded
happy
hard-working
healthy
heavenly
helpful
high-energy
hilarious
honest
hot
huggable
hypnotic
idolized
impassioned
impulsive
independent
innocent
innovative
inspirational
inspiring
intellectual
intelligent
intimate
intoxicating
intuitive
self-driven
sexy
bitch 
slut
cunt
I'm going to set that bitch on fire
she is an evil cunt
evil
dyke
hellish
bitch
bitchface
dick
fat bitch
thunder thighs
pussy
monster
botox
evil dyke
I bet if we took all the money Nancy Pelosi spends on botox and fillers we would have enough money to build our wall
dumb bitch
biotch
botox face
evil cunt
lock her up 
boss bitch
bad bitch
what a bad boss bitch
what a boss bitch
i love her 
everything she does is amazing
love this look
